driver_id,driver_name,age,experience_years,license_type,employment_type,home_province,performance_rating
D00158,Sipho Nkosi,61,1.0,Code 8,Contract,Western Cape,5.0
D00159,Nomsa Jacobs,43,11.0,Code 8,Permanent,Limpopo,3.51
D00160,Precious Molefe,63,25.0,Code 10,Contract,Western Cape,4.87
D00161,Tshepo Moyo,28,15.0,Code 8,Contract,Eastern Cape,3.88
D00162,Nomsa Ndlovu,34,15.0,Code 10,Permanent,Eastern Cape,4.39
D00163,Mpho Naidoo,61,17.0,Code 8,Permanent,Northern Cape,2.95
D00164,Amanda Cele,28,21.0,Code 10,Permanent,Mpumalanga,4.04
D00165,Mandla Botha,50,29.0,Code 10,Permanent,Limpopo,3.05
D00166,Precious Maseko,30,27.0,Code 10,Permanent,North West,3.98
D00167,Sibusiso Mkhize,35,19.0,Code 10,Permanent,Gauteng,
D00168,Lwazi Pillay,42,17.0,Code 8,Contract,KwaZulu-Natal,3.73
D00169,Themba Jacobs,36,11.0,Code 8,Permanent,Mpumalanga,4.57
D00170,Precious Mabena,59,3.0,Code 10,Permanent,Mpumalanga,4.18
D00171,Mpho Mokoena,63,21.0,Code 14,Permanent,Western Cape,2.94
D00172,Thabo Ngcobo,43,0.0,Code 10,Permanent,KwaZulu-Natal,2.47
D00173,Nomsa Molefe,44,21.0,Code 10,Permanent,KwaZulu-Natal,4.15
D00174,Mandla Cele,23,15.0,Code 10,Permanent,Western Cape,4.91
D00175,Sibusiso Naidoo,31,24.0,Code 10,Permanent,Limpopo,3.13
D00176,Zanele Molefe,22,29.0,Code 10,Permanent,Western Cape,5.0
D00177,Zanele Molefe,58,17.0,Code 10,Permanent,North West,3.8
D00178,Tshepo Botha,31,17.0,Code 8,Contract,Limpopo,2.43
D00179,Lerato Sithole,35,15.0,Code 8,Permanent,Mpumalanga,2.71
D00180,Lerato Mokoena,58,11.0,Code 10,Contract,Free State,4.34
D00181,Mpho Adams,52,2.0,Code 10,Permanent,Northern Cape,3.89
D00182,Zanele Adams,48,0.0,Code 14,Contract,KwaZulu-Natal,4.84
D00183,Busisiwe Botha,22,22.0,Code 8,Permanent,Limpopo,2.96
D00184,Zanele Williams,45,28.0,Code 8,Permanent,Western Cape,3.88
D00185,Sibusiso Moyo,45,1.0,Code 14,Permanent,North West,3.8
D00186,Amanda Mkhize,35,10.0,Code 8,Contract,Limpopo,3.7
D00187,Nomsa Nkosi,53,18.0,Code 14,Permanent,Gauteng,3.53
D00188,Precious Van Wyk,61,21.0,Code 8,Permanent,North West,3.55
D00189,Bongani Nkosi,32,,Code 10,Contract,Northern Cape,3.92
D00190,Zanele Nkosi,35,21.0,Code 10,Permanent,Western Cape,4.01
D00191,Karabo Botha,35,2.0,Code 8,Permanent,North West,3.98
D00192,Mpho Maseko,57,7.0,Code 8,Contract,Mpumalanga,4.64
D00193,Mandla Mahlangu,24,14.0,Code 8,Permanent,Eastern Cape,2.96
D00194,Lwazi Adams,60,1.0,Code 8,Contract,Limpopo,2.53
D00195,Bongani Modise,55,10.0,Code 8,Contract,North West,4.51
D00196,Bongani Botha,42,11.0,Code 14,Contract,Free State,3.14
D00197,Karabo Dlamini,46,30.0,Code 8,Contract,Limpopo,3.53
D00198,Sibusiso Pillay,60,9.0,Code 10,Permanent,Western Cape,3.37
D00199,Mpho Mokoena,54,30.0,Code 8,Permanent,Northern Cape,3.36
D00200,Thabo Van Wyk,33,21.0,Code 14,Permanent,Northern Cape,2.78
D00201,Nandi Ndlovu,23,21.0,Code 14,Contract,Gauteng,3.4
D00202,Karabo Moyo,49,25.0,Code 14,Permanent,Free State,4.25
D00203,Thabo Mokoena,27,26.0,Code 14,Contract,KwaZulu-Natal,3.8
D00204,Siyabonga Ngcobo,24,6.0,Code 8,Permanent,Eastern Cape,4.15
D00205,Bongani Molefe,64,13.0,Code 10,Permanent,KwaZulu-Natal,3.45
D00206,Sipho Botha,41,16.0,Code 8,Permanent,North West,4.43
D00207,Lwazi Sithole,49,30.0,Code 14,Permanent,Mpumalanga,3.44
D00208,Precious Adams,30,1.0,Code 10,Permanent,North West,2.32
D00209,Lwazi Ndlovu,25,14.0,Code 10,Permanent,North West,4.02
D00210,Sipho Ngcobo,23,6.0,Code 14,Permanent,Mpumalanga,4.34
D00211,Busisiwe Maseko,36,6.0,Code 14,Permanent,Gauteng,3.41
D00212,Busisiwe Modise,21,23.0,Code 14,Contract,North West,4.64
D00213,Sipho Molefe,39,6.0,Code 8,Permanent,North West,3.2
D00214,Mpho Sithole,35,24.0,Code 8,Permanent,Gauteng,4.27
D00215,Ayanda Sithole,44,30.0,Code 8,Permanent,Western Cape,5.0
D00216,Busisiwe Mkhize,46,24.0,Code 10,Permanent,Mpumalanga,3.83
D00217,Kagiso Mabena,34,5.0,Code 10,Permanent,Eastern Cape,3.64
D00218,Kagiso Mthembu,41,4.0,Code 8,Permanent,KwaZulu-Natal,3.73
D00219,Amanda Williams,24,13.0,Code 14,Permanent,Eastern Cape,4.94
D00220,Tshepo Molefe,34,17.0,Code 8,Permanent,North West,4.08
D00221,Lwazi Zulu,64,24.0,Code 10,Permanent,Eastern Cape,5.0
D00222,Sipho Van Wyk,64,13.0,Code 14,Contract,Eastern Cape,4.0
D00223,Themba Jacobs,42,5.0,Code 10,Permanent,Eastern Cape,3.34
D00224,Amanda Sithole,62,30.0,Code 10,Permanent,Western Cape,3.39
D00225,Mandla Maseko,43,28.0,Code 8,Permanent,Western Cape,3.84
D00226,Ayanda Sithole,26,20.0,Code 8,Contract,Eastern Cape,2.37
D00227,Ayanda Mkhize,59,21.0,Code 10,Permanent,Western Cape,3.47
D00228,Thabo Molefe,39,28.0,Code 10,Contract,Mpumalanga,3.48
D00229,Sipho Mokoena,47,14.0,Code 8,Contract,Eastern Cape,3.97
D00230,Precious Cele,49,4.0,Code 14,Contract,Free State,5.0
D00231,Bongani Mkhize,34,18.0,Code 10,Contract,Eastern Cape,3.84
D00232,Nandi Botha,53,13.0,Code 14,Permanent,Mpumalanga,2.45
D00233,Lwazi Sithole,43,24.0,Code 10,Contract,Eastern Cape,3.16
D00234,Karabo Maseko,37,23.0,Code 14,Contract,Western Cape,3.98
D00235,Zanele Naidoo,34,14.0,Code 8,Permanent,Free State,3.87
D00236,Karabo Ndlovu,53,11.0,Code 8,Permanent,Gauteng,4.94
D00237,Mandla Adams,31,13.0,Code 14,Contract,Limpopo,4.47
D00238,Lwazi Mkhize,26,19.0,Code 14,Permanent,Limpopo,4.45
D00239,Ayanda Sithole,59,19.0,Code 10,Contract,Free State,3.65
D00240,Mandla Cele,35,15.0,Code 8,Permanent,Eastern Cape,4.57
D00241,Themba Zulu,49,16.0,Code 8,Contract,Limpopo,3.17
D00242,Mpho Naidoo,52,30.0,Code 14,Permanent,Mpumalanga,4.48
D00243,Themba Mkhize,57,7.0,Code 14,Contract,North West,3.6
D00244,Bongani Ngcobo,48,5.0,Code 8,Permanent,Northern Cape,2.79
D00245,Amanda Nkosi,52,24.0,Code 8,Contract,Western Cape,4.22
D00246,Mpho Sithole,57,28.0,Code 10,Permanent,Limpopo,4.78
D00247,Mandla Cele,62,18.0,Code 10,Permanent,Western Cape,3.52
D00248,Amanda Cele,23,12.0,Code 10,Permanent,Eastern Cape,4.89
D00249,Nomsa Zulu,53,10.0,Code 10,Permanent,Mpumalanga,2.64
D00250,Nomsa Mkhize,28,14.0,Code 14,Contract,Free State,2.96
D00251,Bongani Molefe,60,1.0,Code 8,Permanent,North West,3.7
D00252,Thabo Mabena,23,16.0,Code 10,Permanent,Northern Cape,3.54
D00253,Mpho Mthembu,31,8.0,Code 10,Contract,Northern Cape,3.33
D00254,Sibusiso Cele,29,8.0,Code 10,Permanent,Mpumalanga,3.89
D00255,Mandla Williams,47,17.0,Code 14,Permanent,Mpumalanga,3.43
D00256,Mandla Botha,21,29.0,Code 10,Permanent,North West,3.55
D00257,Nomsa Jacobs,21,6.0,Code 10,Permanent,KwaZulu-Natal,3.99
D00258,Siyabonga Adams,43,28.0,Code 8,Contract,KwaZulu-Natal,3.33
D00259,Lerato Ndlovu,63,16.0,Code 10,Permanent,Eastern Cape,3.73
D00260,Kagiso Mahlangu,44,30.0,Code 8,Permanent,Mpumalanga,3.35
D00261,Karabo Pillay,40,11.0,Code 8,Permanent,Eastern Cape,2.96
D00262,Siyabonga Botha,49,30.0,Code 10,Contract,Gauteng,4.33
D00263,Ayanda Mkhize,45,20.0,Code 10,Permanent,North West,5.0
D00264,Siyabonga Van Wyk,37,20.0,Code 14,Contract,Mpumalanga,4.55
D00265,Sipho Nkosi,46,17.0,Code 10,Permanent,Limpopo,4.03
D00266,Bongani Khumalo,21,14.0,Code 14,Permanent,North West,3.35
D00267,Zanele Mthembu,31,16.0,Code 8,Contract,North West,3.6
D00268,Lwazi Mkhize,50,26.0,Code 10,Permanent,Northern Cape,4.54
D00269,Thabo Pillay,36,24.0,Code 14,Permanent,KwaZulu-Natal,2.2
D00270,Tshepo Nkosi,23,0.0,Code 10,Permanent,Gauteng,3.55
D00271,Lwazi Williams,26,21.0,Code 14,Contract,Eastern Cape,4.31
D00272,Busisiwe Adams,59,25.0,Code 10,Permanent,North West,3.0
D00273,Sibusiso Mahlangu,35,23.0,Code 8,Permanent,Northern Cape,4.1
D00274,Nandi Molefe,21,15.0,Code 10,Permanent,Western Cape,4.06
D00275,Siyabonga Adams,53,10.0,Code 8,Contract,North West,2.78
D00276,Lerato Jacobs,44,20.0,Code 8,Permanent,Free State,3.86
D00277,Kagiso Mokoena,40,20.0,Code 8,Permanent,North West,3.37
D00278,Kagiso Nkosi,60,11.0,Code 8,Permanent,Mpumalanga,4.09
D00279,Nandi Cele,34,12.0,Code 10,Permanent,Western Cape,4.27
D00280,Mpho Mabena,46,11.0,Code 14,Permanent,Free State,4.08
D00281,Thabo Khumalo,53,1.0,Code 10,Contract,Western Cape,3.85
D00282,Amanda Modise,47,0.0,Code 14,Permanent,Eastern Cape,4.0
D00283,Amanda Sithole,30,2.0,Code 10,Permanent,Mpumalanga,2.98
D00284,Ayanda Sithole,50,13.0,Code 8,Permanent,Mpumalanga,3.78
D00285,Thabo Ndlovu,53,15.0,Code 8,Permanent,Mpumalanga,3.24
D00286,Sipho Maseko,26,12.0,Code 14,Permanent,Limpopo,4.52
D00287,Lerato Molefe,28,29.0,Code 10,Permanent,Western Cape,4.28
D00288,Karabo Moyo,50,6.0,Code 14,Permanent,Limpopo,4.28
D00289,Siyabonga Cele,26,12.0,Code 8,Contract,Free State,5.0
D00290,Nomsa Van Wyk,59,7.0,Code 10,Permanent,Free State,3.57
D00291,Kagiso Mokoena,25,9.0,Code 14,Permanent,Gauteng,3.42
D00292,Nomsa Khumalo,63,18.0,Code 14,Contract,Mpumalanga,3.55
D00293,Nandi Botha,50,9.0,Code 8,Permanent,Limpopo,2.68
D00294,Precious Botha,40,9.0,Code 14,Permanent,Eastern Cape,2.73
D00295,Kagiso Mkhize,32,20.0,Code 10,Permanent,Western Cape,4.23
D00296,Siyabonga Dlamini,36,25.0,Code 14,Contract,Western Cape,2.82
D00297,Thabo Modise,53,6.0,Code 10,Permanent,Eastern Cape,3.05
D00298,Nomsa Sithole,54,3.0,Code 10,Permanent,Free State,3.73
D00299,Mpho Modise,30,7.0,Code 10,Permanent,Northern Cape,3.51
D00300,Lwazi Van Wyk,44,17.0,Code 14,Permanent,Mpumalanga,4.42
D00301,Mandla Van Wyk,64,29.0,Code 8,Permanent,Free State,3.84
D00302,Tshepo Jacobs,32,4.0,Code 10,Permanent,KwaZulu-Natal,3.24
D00303,Lwazi Jacobs,51,1.0,Code 10,Contract,Gauteng,4.48
D00304,Mandla Mabena,28,16.0,Code 10,Contract,Gauteng,4.31
D00305,Zanele Dlamini,57,30.0,Code 10,Permanent,Western Cape,2.81
D00306,Bongani Sithole,28,17.0,Code 10,Permanent,Northern Cape,3.98
D00307,Sibusiso Adams,34,28.0,Code 10,Permanent,Western Cape,3.3
D00308,Sipho Botha,41,19.0,Code 10,Permanent,North West,3.28
D00309,Amanda Mkhize,37,0.0,Code 10,Permanent,Limpopo,5.0
D00310,Thabo Adams,28,13.0,Code 10,Permanent,Limpopo,3.89
D00311,Nomsa Dlamini,28,34,Code 14,Contract,Northern Cape,3.65
D00312,Ayanda Cele,21,15.0,Code 10,Permanent,North West,3.86
D00313,Mpho Mabena,64,6.0,Code 8,Permanent,Gauteng,4.41
D00314,Sipho Maseko,23,5.0,Code 10,Contract,Northern Cape,3.31
D00315,Thabo Zulu,35,20.0,Code 8,Permanent,Gauteng,3.43
D00316,Busisiwe Molefe,61,14.0,Code 8,Contract,Limpopo,4.26
D00317,Mandla Mahlangu,27,17.0,Code 14,Contract,Limpopo,2.74
D00318,Sipho Mokoena,24,11.0,Code 10,Permanent,KwaZulu-Natal,4.49
D00319,Mpho Mkhize,53,10.0,Code 10,Permanent,Limpopo,2.68
D00320,Bongani Pillay,24,20.0,Code 14,Permanent,Limpopo,3.63
D00321,Amanda Botha,60,0.0,Code 8,Contract,Northern Cape,2.68
D00322,Busisiwe Moyo,40,13.0,Code 8,Permanent,Northern Cape,3.06
D00323,Tshepo Ndlovu,59,11.0,Code 8,Contract,Eastern Cape,4.71
D00324,Precious Molefe,31,24.0,Code 8,Permanent,Mpumalanga,4.53
D00325,Sibusiso Zulu,27,22.0,Code 10,Contract,North West,4.61
D00326,Nomsa Molefe,63,13.0,Code 14,Permanent,Western Cape,2.79
D00327,Siyabonga Botha,54,8.0,Code 10,Contract,Mpumalanga,3.06
D00328,Karabo Khumalo,61,7.0,Code 8,Permanent,Northern Cape,4.04
D00329,Thabo Dlamini,35,6.0,Code 10,Permanent,Gauteng,4.3
D00330,Kagiso Van Wyk,38,8.0,Code 8,Contract,Mpumalanga,3.24
D00331,Lerato Moyo,46,23.0,Code 10,Permanent,Western Cape,3.39
D00332,Kagiso Molefe,40,1.0,Code 10,Permanent,Eastern Cape,3.01
D00333,Karabo Zulu,31,0.0,Code 8,Contract,North West,4.96
D00334,Sipho Mabena,37,16.0,Code 14,Contract,Northern Cape,3.47
D00335,Sibusiso Mabena,47,6.0,Code 14,Permanent,Mpumalanga,3.82
D00336,Sipho Moyo,22,25.0,Code 8,Permanent,Mpumalanga,3.86
D00337,Precious Sithole,35,23.0,Code 10,Permanent,KwaZulu-Natal,4.57
D00338,Amanda Dlamini,33,23.0,Code 10,Permanent,North West,3.13
D00339,Lerato Ngcobo,24,14.0,Code 8,Permanent,Limpopo,4.62
D00340,Nandi Mkhize,26,13.0,Code 8,Permanent,Northern Cape,2.9
D00341,Mandla Mabena,42,13.0,Code 10 ,Permanent,Limpopo,4.62
D00342,Lwazi Mabena,25,6.0,Code 14,Permanent,Western Cape,2.6
D00343,Sipho Modise,36,17.0,Code 10,Contract,Free State,3.73
D00344,Zanele Botha,45,26.0,Code 10,Permanent,Mpumalanga,4.94
D00345,Bongani Nkosi,59,7.0,Code 10,Permanent,North West,4.29
D00346,Busisiwe Mahlangu,25,1.0,Code 10,Contract,Eastern Cape,4.09
D00347,Lwazi Jacobs,40,17.0,Code 8,Contract,Gauteng,3.07
