,customer_id,customer_name,customer_type,province,city,registration_date,monthly_shipping_budget
31,C000032,Mpho Moyo,Individual,Gauteng,Centurion,2023-09-13,25824.94
32,C000033,Sipho Nkosi,Business,Kwazulu-Natal,Newcastle,2022-07-03,49277.2
33,C000034,Busisiwe Van Wyk,Individual,Eastern Cape,Mthatha,2019-05-14,44687.66
34,C000035,Kabelo Botha,Business,Gauteng,Sandton,2022-10-09,8954.52
35,C000036,Lerato Sithole,Individual,Eastern Cape,East London,2022-05-29,5514.31
36,C000037,Nokuthula Mokoena,Individual,Gauteng,Pretoria,2025-10-24,26062.0
37,C000038,Mandla Moyo,Individual,Eastern Cape,Mthatha,2026-02-02,128822.63
38,C000039,Lwazi Mkhize,Enterprise,Western Cape,Cape Town,2019-07-30,58938.44
39,C000040,Tshepo Zulu,Business,Kwazulu-Natal,Durban,2018-12-17,4542.8
40,C000041,Ayanda Khumalo,Individual,Gauteng,Soweto,2024-01-03,54319.37
41,C000042,Siyabonga Mahlangu,Individual,Free State,Bloemfontein,2022-10-07,24458.61
42,C000043,Lindelwa Pillay,Individual,Western Cape,Stellenbosch,2021-11-24,58505.73
43,C000044,Sibusiso Mabena,Individual,Gauteng,Sandton,2024-07-15,1905.92
44,C000045,Lerato Ndlovu,Individual,North West,Klerksdorp,2019-11-27,4902.94
45,C000046,Dumisani Williams,Individual,Kwazulu-Natal,Durban,2018-09-03,15012.72
46,C000047,Precious Zulu,Individual,Gauteng,Centurion,2021-12-13,90143.91
47,C000048,Kabelo Mokoena,Individual,Free State,Welkom,2022-09-05,13344.57
48,C000049,Karabo Jacobs,Enterprise,Eastern Cape,Gqeberha,2018-06-08,44485.5
49,C000050,Amanda Adams,Individual,Western Cape,George,2024-04-28,8136.66
50,C000051,Siyabonga Botha,Individual,Western Cape,Cape Town,2024-09-25,37253.93
51,C000052,Ayanda Dlamini,Individual,Western Cape,Paarl,2023-10-22,7978.43
52,C000053,Zanele Sithole,Business,Gauteng,Sandton,2025-10-30,5565.26
53,C000054,Precious Nkosi,Business,Gauteng,Centurion,2021-03-10,125979.0
54,C000055,Themba Mkhize,Business,Western Cape,Paarl,2022-01-05,6360.08
55,C000056,Lerato Moyo,Individual,Gauteng,Sandton,2023-10-21,2440.9
56,C000057,Busisiwe Mthembu,Business,Western Cape,Paarl,2022-06-28,19292.24
57,C000058,Nomsa Pillay,Individual,Eastern Cape,East London,2020-11-11,31101.98
58,C000059,Siyabonga Ngcobo,Individual,Kwazulu-Natal,Durban,2024-04-03,17288.81
59,C000060,Lindelwa Cele,Individual,Gauteng,Johannesburg,2021-05-10,22046.46
60,C000061,Phumzile Modise,Enterprise,Gauteng,Centurion,2025-08-25,10269.4
61,C000062,Siyabonga Adams,Business,Gauteng,Pretoria,2019-05-11,12343.6
62,C000063,Zanele Mthembu,Business,Western Cape,Stellenbosch,2022-12-18,24280.97
63,C000064,Dumisani Ngcobo,Business,Gauteng,Johannesburg,2021-01-06,3067.27
64,C000065,Bongani Adams,Individual,Western Cape,Bellville,2018-10-29,7481.77
65,C000066,Sibusiso Mthembu,Business,Kwazulu-Natal,Durban,2020-02-18,21662.09
66,C000067,Kabelo Mabena,Individual,North West,Potchefstroom,2020-12-28,2809.28
67,C000068,Zanele Cele,Individual,Free State,Welkom,2019-10-06,1422.5
68,C000069,Lerato Ndlovu,Business,North West,Potchefstroom,2019-04-07,11668.45
69,C000070,Precious Modise,Individual,Gauteng,Centurion,2019-03-04,17802.7
70,C000071,Amanda Mahlangu,Individual,Gauteng,Sandton,2023-02-21,41743.95
71,C000072,Ayanda Nkosi,Individual,Eastern Cape,East London,2018-02-06,52022.33
72,C000073,Precious Mthembu,Individual,Gauteng,Sandton,2024-12-13,33349.08
73,C000074,Nomsa Ndlovu,Enterprise,Western Cape,Stellenbosch,2023-01-08,41927.37
74,C000075,Lindelwa Mokoena,Business,Kwazulu-Natal,Pietermaritzburg,2022-12-30,20341.34
75,C000076,Precious Adams,Individual,North West,Klerksdorp,2023-10-07,4539.31
76,C000077,Sibusiso Nkosi,Individual,Free State,Kroonstad,2018-01-14,60447.77
77,C000078,Mpho Ngcobo,Individual,Gauteng,Centurion,2021-06-02,29951.65
78,C000079,Kagiso Pillay,Individual,Gauteng,Centurion,2021-01-21,1543.62
79,C000080,Karabo Mahlangu,Individual,Western Cape,Cape Town,2025-01-23,138295.29
80,C000081,Phumzile Sithole,Individual,Eastern Cape,East London,2021-09-29,7626.4
81,C000082,Bongani Cele,Individual,Western Cape,Paarl,2020-12-21,587.4
82,C000083,Ayanda Maseko,Individual,Kwazulu-Natal,Pietermaritzburg,2023-04-26,15555.12
83,C000084,Mandla Modise,Individual,Limpopo,Polokwane,2019-03-21,121576.43
84,C000085,Tshepo Nkosi,Individual,Kwazulu-Natal,Newcastle,2019-01-06,18815.77
85,C000086,Lindelwa Nkosi,Individual,Kwazulu-Natal,Newcastle,2024-11-13,14944.89
86,C000087,Sipho Sithole,Individual,Western Cape,Stellenbosch,2022-04-04,3306.43
87,C000088,Nandi Mokoena,Individual,Western Cape,Worcester,2023-03-06,143681.2
88,C000089,Amanda Mkhize,Business,Kwazulu-Natal,Umhlanga,2019-11-13,43447.98
89,C000090,Mandla Mabena,Individual,North West,Mahikeng,2019-10-29,40710.14
90,C000091,Bongani Cele,Individual,Gauteng,Centurion,2024-10-07,10131.19
91,C000092,Mandla Cele,Individual,Gauteng,Sandton,2026-03-22,2349.69
92,C000093,Nokuthula Van Wyk,Business,Gauteng,Johannesburg,2026-05-03,93893.4
93,C000094,Zanele Khumalo,Individual,Gauteng,Pretoria,2024-09-17,7783.46
94,C000095,Kabelo Williams,Individual,Western Cape,Cape Town,2021-01-21,29304.16
95,C000096,Nandi Mkhize,Business,Kwazulu-Natal,Richards Bay,2019-08-31,9285.09
96,C000097,Mpho Botha,Business,Western Cape,George,2024-04-11,18396.95
97,C000098,Lindelwa Mkhize,Business,Kwazulu-Natal,Richards Bay,2018-01-20,2605.83
98,C000099,Tshepo Williams,Business,Gauteng,Johannesburg,2020-12-22,99593.17
99,C000100,Nomsa Naidoo,Business,Gauteng,Pretoria,2019-09-19,14407.43
100,C000101,Mandla Adams,Business,Kwazulu-Natal,Umhlanga,2019-09-23,4094.3
101,C000102,Ayanda Sithole,Business,Gauteng,Centurion,2026-02-02,24374.19
102,C000103,Mandla Maseko,Individual,Western Cape,Stellenbosch,2018-04-09,11146.48
103,C000104,Thabo Nkosi,Individual,Kwazulu-Natal,Pietermaritzburg,2018-10-10,32297.86
104,C000105,Amanda Adams,Enterprise,Gauteng,Centurion,2018-04-09,4109.11
105,C000106,Amanda Zulu,Enterprise,Kwazulu-Natal,Newcastle,2022-07-31,16726.24
106,C000107,Amanda Williams,Business,Free State,Welkom,2024-08-30,3488.08
107,C000108,Karabo Van Wyk,Individual,Western Cape,Worcester,2018-06-22,33591.58
108,C000109,Precious Mokoena,Individual,Kwazulu-Natal,Newcastle,2025-12-30,65708.54
109,C000110,Lindelwa Pillay,Individual,Gauteng,Pretoria,2026-03-13,23891.65
110,C000111,Lwazi Mabena,Individual,Gauteng,Sandton,2019-02-06,3916.85
111,C000112,Amanda Sithole,Individual,Western Cape,Bellville,2019-11-17,4395.41
112,C000113,Busisiwe Nkosi,Individual,Free State,Bloemfontein,2021-04-19,23221.61
113,C000114,Precious Naidoo,Individual,Western Cape,Worcester,2020-03-29,1362.63
114,C000115,Themba Botha,Individual,Gauteng,Midrand,2024-08-03,17783.42
115,C000116,Kagiso Mahlangu,Business,Eastern Cape,Mthatha,2024-12-29,13477.04
116,C000117,Thabo Mahlangu,Individual,Eastern Cape,Grahamstown,2024-07-06,5026.56
117,C000118,Nomsa Van Wyk,Individual,Limpopo,Tzaneen,2021-08-19,8019.32
118,C000119,Lwazi Williams,Individual,Mpumalanga,Middelburg,2025-07-10,10945.02
119,C000120,Sipho Adams,Individual,Gauteng,Sandton,2018-07-27,10883.98
120,C000121,Bongani Naidoo,Individual,Mpumalanga,Nelspruit,2025-05-27,2715.45
121,C000122,Karabo Mthembu,Individual,Limpopo,Polokwane,2023-02-26,11084.12
122,C000123,Karabo Khumalo,Individual,Eastern Cape,Grahamstown,2022-07-24,19170.34
123,C000124,Precious Ndlovu,Individual,Gauteng,Johannesburg,2025-08-03,5630.67
124,C000125,Nokuthula Zulu,Individual,Eastern Cape,Gqeberha,2026-06-10,13547.82
125,C000126,Kagiso Dlamini,Individual,Free State,Bloemfontein,2020-10-13,10290.97
126,C000127,Lerato Cele,Business,Eastern Cape,East London,2022-06-05,10811.05
127,C000128,Amanda Dlamini,Business,Gauteng,Centurion,2021-04-02,5789.98
128,C000129,Kagiso Moyo,Individual,Gauteng,Pretoria,2019-09-16,2521.22
129,C000130,Tshepo Cele,Individual,Kwazulu-Natal,Newcastle,2020-07-03,64067.71
130,C000131,Kagiso Dlamini,Individual,Western Cape,Paarl,2024-10-08,15764.64
131,C000132,Busisiwe Mokoena,Individual,Eastern Cape,Gqeberha,2024-11-04,10159.42
132,C000133,Sipho Mokoena,Individual,Western Cape,George,2024-03-12,53451.74
133,C000134,Busisiwe Jacobs,Individual,Gauteng,Soweto,2022-01-26,62326.45
134,C000135,Amanda Williams,Individual,Kwazulu-Natal,Umhlanga,2024-12-23,34808.35
135,C000136,Nandi Cele,Individual,Eastern Cape,Grahamstown,2022-08-31,19153.49
136,C000137,Tshepo Adams,Individual,Northern Cape,Kuruman,2019-01-16,16781.99
137,C000138,Thabo Mthembu,Enterprise,Gauteng,Sandton,2024-07-04,8522.02
138,C000139,Sibusiso Zulu,Business,Gauteng,Midrand,2023-09-13,3751.78
139,C000140,Bongani Dlamini,Individual,Gauteng,Johannesburg,2020-11-14,9675.32
140,C000141,Dumisani Sithole,Business,Kwazulu-Natal,Durban,2023-11-25,44925.37
141,C000142,Mpho Dlamini,Individual,Free State,Kroonstad,2022-01-07,59807.04
142,C000143,Lwazi Williams,Individual,Free State,Kroonstad,2021-07-10,5966.29
143,C000144,Bongani Mabena,Individual,Western Cape,Stellenbosch,2020-09-22,654.28
144,C000145,Dumisani Williams,Individual,Western Cape,Worcester,2018-12-26,11203.73
145,C000146,Nokuthula Naidoo,Individual,Kwazulu-Natal,Richards Bay,2023-02-12,4421.32
146,C000147,Thabo Dlamini,Business,Gauteng,Johannesburg,2021-07-25,22584.46
147,C000148,Mpho Mahlangu,Business,Eastern Cape,Mthatha,2024-08-04,26364.82
148,C000149,Mandla Dlamini,Enterprise,Eastern Cape,Grahamstown,2020-03-17,2578.43
149,C000150,Lerato Ndlovu,Business,Kwazulu-Natal,Pietermaritzburg,2018-07-24,15863.15
150,C000151,Nokuthula Modise,Individual,Western Cape,George,2024-07-04,22357.23
151,C000152,Nandi Modise,Business,Kwazulu-Natal,Durban,2020-03-09,46373.91
152,C000153,Kabelo Mthembu,Individual,Eastern Cape,Mthatha,2025-02-14,3493.72
153,C000154,Nandi Sithole,Individual,Gauteng,Midrand,2022-04-20,12257.14
154,C000155,Bongani Nkosi,Individual,Gauteng,Pretoria,2024-08-20,2464.82
155,C000156,Karabo Ngcobo,Business,Mpumalanga,Mbombela,2018-12-18,4928.69
156,C000157,Nomsa Naidoo,Individual,Gauteng,Centurion,2024-12-09,9345.67
157,C000158,Busisiwe Sithole,Business,Limpopo,Thohoyandou,2024-11-24,14702.05
158,C000159,Themba Botha,Business,Western Cape,Worcester,2021-12-27,9028.07
159,C000160,Amanda Ndlovu,Business,Mpumalanga,Nelspruit,2019-09-07,49420.15
160,C000161,Dumisani Naidoo,Individual,North West,Unknown,2025-06-09,42071.36
161,C000162,Karabo Adams,Business,Kwazulu-Natal,Richards Bay,2018-10-13,24983.62
162,C000163,Bongani Mkhize,Individual,Gauteng,Pretoria,2020-05-04,17045.14
163,C000164,Bongani Pillay,Individual,Gauteng,Midrand,2020-03-01,17482.06
164,C000165,Bongani Naidoo,Individual,Eastern Cape,Gqeberha,2018-02-05,92557.66
165,C000166,Mandla Khumalo,Individual,Gauteng,Midrand,2024-12-21,5973.0
166,C000167,Sibusiso Williams,Individual,Western Cape,Stellenbosch,2023-03-23,3154.68
167,C000168,Ayanda Nkosi,Business,Eastern Cape,Grahamstown,2024-06-13,101330.8
168,C000169,Sibusiso Mokoena,Individual,Gauteng,Johannesburg,2020-12-03,6472.62
169,C000170,Thabo Mkhize,Business,Gauteng,Johannesburg,2023-04-12,18209.62
170,C000171,Sipho Pillay,Individual,Gauteng,Sandton,2018-09-28,6608.16
171,C000172,Sipho Sithole,Enterprise,Kwazulu-Natal,Richards Bay,2025-11-11,6797.59
172,C000173,Amanda Ndlovu,Individual,Gauteng,Pretoria,2018-07-21,57813.52
173,C000174,Siyabonga Moyo,Individual,Free State,Bloemfontein,2022-10-19,5036.65
174,C000175,Lindelwa Botha,Individual,Kwazulu-Natal,Pietermaritzburg,2020-08-03,23778.58
175,C000176,Precious Cele,Individual,Western Cape,Paarl,2024-08-29,35021.54
176,C000177,Lindelwa Mahlangu,Individual,Eastern Cape,Gqeberha,2020-02-06,49814.46
177,C000178,Ayanda Maseko,Business,Eastern Cape,Gqeberha,2024-08-23,4483.97
178,C000179,Kabelo Mahlangu,Individual,Mpumalanga,Middelburg,2026-02-03,18150.76
179,C000180,Themba Mokoena,Individual,Kwazulu-Natal,Durban,2025-01-03,2265.6
180,C000181,Phumzile Nkosi,Business,Northern Cape,Kuruman,2022-06-02,54898.04
181,C000182,Nomsa Mkhize,Individual,Gauteng,Pretoria,2019-11-20,34698.9
182,C000183,Themba Adams,Business,Gauteng,Pretoria,2020-09-20,33211.23
183,C000184,Lindelwa Zulu,Individual,Kwazulu-Natal,Newcastle,2024-06-12,30104.82
184,C000185,Themba Mokoena,Business,Western Cape,Paarl,2018-11-12,150756.26
185,C000186,Precious Modise,Individual,Gauteng,Pretoria,2023-11-13,979.21
186,C000187,Ayanda Mthembu,Individual,Kwazulu-Natal,Richards Bay,2022-02-12,2840.64
187,C000188,Zanele Mkhize,Business,North West,Potchefstroom,2019-02-24,7843.04
188,C000189,Mpho Mokoena,Individual,North West,Mahikeng,2023-04-20,46330.4
189,C000190,Nandi Pillay,Individual,Gauteng,Midrand,2020-11-27,28139.74
190,C000191,Lindelwa Sithole,Business,Gauteng,Centurion,2023-05-18,9189.82
191,C000192,Tshepo Ndlovu,Enterprise,Eastern Cape,East London,2023-10-31,15836.62
192,C000193,Tshepo Mokoena,Individual,Mpumalanga,Witbank,2025-07-22,11012.06
193,C000194,Zanele Cele,Business,Gauteng,Soweto,2022-08-10,23992.36
194,C000195,Phumzile Khumalo,Business,Eastern Cape,Mthatha,2019-07-12,8223.05
195,C000196,Sipho Mkhize,Enterprise,Western Cape,George,2026-03-02,42572.29
196,C000197,Sibusiso Botha,Individual,Western Cape,Paarl,2018-08-01,8535.39
197,C000198,Sipho Nkosi,Individual,Western Cape,George,2023-04-23,2808.78
198,C000199,Sibusiso Modise,Individual,Gauteng,Johannesburg,2022-01-30,14956.49
199,C000200,Dumisani Adams,Individual,Gauteng,Pretoria,2018-07-02,3728.84
200,C000201,Zanele Mthembu,Individual,Kwazulu-Natal,Pietermaritzburg,2026-01-06,4446.98
201,C000202,Kabelo Cele,Individual,Kwazulu-Natal,Durban,2025-08-14,13686.28
202,C000203,Themba Mkhize,Business,Limpopo,Thohoyandou,2025-01-10,14944.89
203,C000204,Lindelwa Mkhize,Business,Kwazulu-Natal,Durban,2023-04-18,8775.18
204,C000205,Precious Cele,Individual,Kwazulu-Natal,Umhlanga,2021-04-19,19494.56
205,C000206,Lwazi Mahlangu,Individual,Gauteng,Midrand,2021-07-13,500.0
206,C000207,Amanda Mkhize,Individual,Gauteng,Pretoria,2025-08-23,5891.44
207,C000208,Dumisani Jacobs,Individual,Gauteng,Midrand,2023-09-15,27711.62
208,C000209,Lwazi Van Wyk,Business,Gauteng,Pretoria,2019-08-08,21361.86
209,C000210,Amanda Mthembu,Individual,Limpopo,Polokwane,2023-01-08,35862.69
210,C000211,Lwazi Khumalo,Individual,Gauteng,Johannesburg,2018-02-07,4234.63
211,C000212,Lindelwa Mabena,Business,Gauteng,Centurion,2021-02-06,8342.28
212,C000213,Amanda Ngcobo,Business,Western Cape,Worcester,2022-11-05,18800.01
213,C000214,Precious Maseko,Business,Western Cape,Cape Town,2018-08-13,17756.39
214,C000215,Siyabonga Mkhize,Business,Kwazulu-Natal,Pietermaritzburg,2024-12-25,14365.06
215,C000216,Lwazi Molefe,Individual,Gauteng,Johannesburg,2020-04-12,30207.31
216,C000217,Lerato Van Wyk,Individual,Free State,Bloemfontein,2026-01-31,41338.32
217,C000218,Sipho Van Wyk,Individual,Gauteng,Sandton,2020-05-26,14050.4
218,C000219,Precious Dlamini,Business,Western Cape,Cape Town,2020-12-02,6458.56
219,C000220,Kabelo Maseko,Business,Gauteng,Midrand,2020-10-02,3474.28
220,C000221,Nomsa Mahlangu,Individual,Gauteng,Pretoria,2022-02-17,33496.68
221,C000222,Precious Molefe,Business,Limpopo,Thohoyandou,2024-05-16,23754.0
222,C000223,Lindelwa Mthembu,Individual,North West,Potchefstroom,2019-05-08,8899.04
223,C000224,Mpho Ndlovu,Individual,Western Cape,Bellville,2024-09-06,19675.46
224,C000225,Siyabonga Ndlovu,Business,Northern Cape,Kuruman,2018-08-02,78445.12
225,C000226,Nandi Williams,Individual,Limpopo,Polokwane,2018-05-18,922.58
226,C000227,Mandla Maseko,Individual,Gauteng,Centurion,2019-08-15,15775.69
227,C000228,Kagiso Moyo,Individual,Western Cape,Paarl,2023-03-24,13697.7
228,C000229,Busisiwe Mabena,Individual,Gauteng,Midrand,2026-03-26,8772.44
229,C000230,Ayanda Nkosi,Business,Free State,Welkom,2018-10-21,12620.62
230,C000231,Precious Maseko,Individual,Northern Cape,Kimberley,2018-05-09,9216.92
231,C000232,Nokuthula Maseko,Individual,Kwazulu-Natal,Newcastle,2020-01-30,7349.58
232,C000233,Thabo Sithole,Business,Kwazulu-Natal,Newcastle,2020-10-31,22467.85
233,C000234,Siyabonga Mokoena,Individual,Gauteng,Pretoria,2026-01-26,1354.99
234,C000235,Themba Van Wyk,Individual,Free State,Bloemfontein,2021-11-12,16251.45
235,C000236,Lindelwa Mahlangu,Individual,Mpumalanga,Mbombela,2021-04-08,11916.13
236,C000237,Karabo Mabena,Business,Gauteng,Centurion,2019-07-28,14944.89
237,C000238,Bongani Maseko,Individual,Limpopo,Thohoyandou,2025-11-17,13955.59
238,C000239,Nandi Khumalo,Individual,Gauteng,Sandton,2025-11-26,8916.02
239,C000240,Tshepo Zulu,Individual,Free State,Welkom,2024-09-11,1838.37
240,C000241,Nomsa Molefe,Business,Northern Cape,Upington,2024-06-29,3366.17
241,C000242,Kagiso Williams,Individual,Gauteng,Soweto,2025-04-17,35862.85
242,C000243,Sipho Mthembu,Business,Limpopo,Tzaneen,2021-12-06,8633.49
243,C000244,Karabo Khumalo,Business,Kwazulu-Natal,Durban,2021-06-08,19532.34
244,C000245,Tshepo Zulu,Business,Kwazulu-Natal,Durban,2018-01-03,17741.77
245,C000246,Sipho Sithole,Business,North West,Rustenburg,2026-01-15,80913.01
246,C000247,Siyabonga Adams,Individual,Limpopo,Thohoyandou,2023-11-03,54395.68
247,C000248,Bongani Modise,Individual,Kwazulu-Natal,Richards Bay,2019-02-22,13904.8
248,C000249,Amanda Naidoo,Individual,Mpumalanga,Mbombela,2018-06-16,110153.14
249,C000250,Lerato Molefe,Individual,Kwazulu-Natal,Pietermaritzburg,2022-03-28,88838.12
250,C000251,Ayanda Pillay,Individual,Western Cape,Bellville,2021-01-17,7743.25
251,C000252,Themba Jacobs,Individual,Western Cape,Unknown,2023-03-29,3352.12
252,C000253,Ayanda Mthembu,Business,Western Cape,Paarl,2020-12-20,4883.75
253,C000254,Sibusiso Modise,Individual,Limpopo,Thohoyandou,2021-07-22,5579.18
254,C000255,Karabo Mabena,Individual,Kwazulu-Natal,Pietermaritzburg,2024-02-12,16085.9
255,C000256,Nomsa Williams,Individual,Western Cape,George,2022-11-26,17396.58
256,C000257,Karabo Ndlovu,Business,Gauteng,Pretoria,2019-02-28,10586.94
257,C000258,Sipho Modise,Business,Gauteng,Sandton,2021-06-09,2521.42
258,C000259,Ayanda Moyo,Business,Kwazulu-Natal,Newcastle,2025-09-18,41202.67
259,C000260,Kagiso Modise,Individual,Eastern Cape,East London,2019-12-23,89879.08
260,C000261,Amanda Mabena,Individual,Eastern Cape,Gqeberha,2022-01-20,29318.31
261,C000262,Ayanda Mthembu,Individual,Western Cape,George,2018-07-04,7091.41
262,C000263,Nandi Ngcobo,Individual,Western Cape,Paarl,2021-05-21,9953.35
263,C000264,Phumzile Naidoo,Business,Gauteng,Johannesburg,2018-07-21,14944.89
264,C000265,Dumisani Ngcobo,Individual,Gauteng,Johannesburg,2019-01-06,6186.64
265,C000266,Kagiso Ngcobo,Individual,North West,Rustenburg,2019-07-22,59887.93
266,C000267,Precious Mahlangu,Individual,Free State,Bloemfontein,2025-03-03,36429.95
267,C000268,Sibusiso Jacobs,Enterprise,Limpopo,Polokwane,2025-05-05,44623.65
268,C000269,Tshepo Mkhize,Enterprise,Western Cape,Bellville,2022-04-13,52721.54
269,C000270,Kagiso Adams,Individual,Mpumalanga,Middelburg,2019-09-19,5974.6
270,C000271,Nandi Ndlovu,Business,Gauteng,Soweto,2021-09-17,20930.9
271,C000272,Thabo Molefe,Business,Kwazulu-Natal,Newcastle,2020-04-21,5052.95
272,C000273,Nomsa Maseko,Individual,Gauteng,Pretoria,2019-08-15,6680.05
273,C000274,Phumzile Botha,Enterprise,Gauteng,Soweto,2025-05-29,16088.95
274,C000275,Bongani Jacobs,Individual,Gauteng,Johannesburg,2023-03-27,10764.75
275,C000276,Themba Sithole,Individual,Western Cape,Bellville,2021-02-01,52215.66
276,C000277,Precious Ngcobo,Enterprise,Western Cape,George,2022-08-26,19327.1
277,C000278,Amanda Pillay,Individual,Western Cape,Cape Town,2026-05-21,3853.16
278,C000279,Lerato Williams,Individual,Gauteng,Soweto,2024-11-23,34260.86
279,C000280,Sipho Ngcobo,Business,Gauteng,Sandton,2024-01-16,5637.52
280,C000281,Lwazi Maseko,Enterprise,Eastern Cape,Grahamstown,2023-08-24,9440.74
281,C000282,Themba Mahlangu,Business,Limpopo,Thohoyandou,2020-05-06,14992.05
282,C000283,Karabo Zulu,Business,Eastern Cape,Grahamstown,2025-10-01,10315.58
283,C000284,Themba Jacobs,Individual,Kwazulu-Natal,Umhlanga,2023-11-24,7975.83
284,C000285,Precious Williams,Enterprise,Gauteng,Centurion,2020-10-03,20130.05
285,C000286,Phumzile Mkhize,Individual,Free State,Kroonstad,2023-01-21,45302.22
286,C000287,Ayanda Modise,Individual,Gauteng,Soweto,2018-06-03,5984.87
287,C000288,Kagiso Van Wyk,Individual,Western Cape,Bellville,2019-04-28,14199.94
288,C000289,Busisiwe Mokoena,Individual,Western Cape,Bellville,2018-10-20,16502.74
289,C000290,Precious Williams,Individual,Gauteng,Sandton,2018-02-08,10532.61
290,C000291,Mandla Botha,Individual,Western Cape,Unknown,2024-10-01,7080.8
291,C000292,Lwazi Van Wyk,Individual,Kwazulu-Natal,Durban,2025-11-03,74559.64
292,C000293,Phumzile Mabena,Individual,Eastern Cape,Gqeberha,2019-05-26,5219.56
293,C000294,Sibusiso Williams,Individual,Gauteng,Centurion,2020-01-24,44093.5
294,C000295,Busisiwe Adams,Individual,Gauteng,Sandton,2021-12-09,125533.57
295,C000296,Busisiwe Modise,Individual,Gauteng,Johannesburg,2022-02-10,12340.44
296,C000297,Nokuthula Zulu,Individual,Gauteng,Johannesburg,2025-07-08,12308.43
297,C000298,Bongani Khumalo,Individual,Gauteng,Midrand,2021-04-04,38791.95
298,C000299,Nandi Williams,Individual,North West,Potchefstroom,2025-02-09,5477.86
299,C000300,Thabo Pillay,Business,Gauteng,Midrand,2022-04-22,76655.61
300,C000301,Zanele Moyo,Individual,Kwazulu-Natal,Umhlanga,2025-04-13,9720.97
301,C000302,Mandla Ndlovu,Individual,Kwazulu-Natal,Pietermaritzburg,2024-12-15,53147.27
302,C000303,Thabo Dlamini,Individual,Western Cape,Cape Town,2021-07-19,3029.95
303,C000304,Kabelo Cele,Individual,Kwazulu-Natal,Umhlanga,2020-05-13,39999.27
304,C000305,Busisiwe Naidoo,Individual,Kwazulu-Natal,Durban,2022-02-14,1297.92
305,C000306,Nomsa Van Wyk,Business,Gauteng,Pretoria,2023-11-15,28564.19
306,C000307,Nandi Jacobs,Individual,Gauteng,Johannesburg,2025-08-20,3691.04
307,C000308,Busisiwe Adams,Business,Kwazulu-Natal,Umhlanga,2020-07-22,2290.22
308,C000309,Nandi Sithole,Individual,Gauteng,Johannesburg,2023-02-15,9538.2
309,C000310,Sipho Mkhize,Individual,Kwazulu-Natal,Pietermaritzburg,2024-01-27,14189.49
310,C000311,Karabo Khumalo,Enterprise,Mpumalanga,Middelburg,2020-01-11,14296.47
