driver_id,driver_name,age,experience_years,license_type,employment_type,home_province,performance_rating
43,D000044,Lindelwa Dlamini,60,5,Code 8,Permanent,Free State,3.17
44,D000045,Lwazi Maseko,40,34,Code 14,Permanent,Western Cape,4.52
45,D000046,Zanele Modise,65,4,Code 10,Contract,Northern Cape,4.1
46,D000047,Mandla Jacobs,46,11,Code 14,Permanent,Eastern Cape,3.44
47,D000048,Karabo Mthembu,56,15,Code 10,Permanent,KwaZulu-Natal,4.02
48,D000049,Zanele Mahlangu,28,24,Code 14,Permanent,Gauteng,3.66
49,D000050,Mandla Mahlangu,35,20,Code 8,Permanent,Gauteng,4.4
50,D000051,Sipho Mokoena,64,4,Code 8,Permanent,Free State,3.65
51,D000052,Mandla Khumalo,42,26,Code 8,Contract,Mpumalanga,4.14
52,D000053,Precious Jacobs,62,18,Code 10,Owner Driver,Northern Cape,3.52
53,D000054,Bongani Mabena,65,34,Code 10,Contract,KwaZulu-Natal,3.76
54,D000055,Siyabonga Cele,32,1,Code 8,Permanent,North West,3.11
55,D000056,Nokuthula Naidoo,43,26,Code 10,Permanent,North West,3.45
56,D000057,Themba Sithole,30,17,Code 8,Owner Driver,Free State,2.56
57,D000058,Precious Mabena,47,32,Code 10,Permanent,Gauteng,4.61
58,D000059,Nandi Modise,40,24,Code 14,Owner Driver,Northern Cape,3.88
59,D000060,Zanele Pillay,38,5,Code 14,Permanent,Gauteng,3.57
60,D000061,Mandla Pillay,36,21,Code 10,Permanent,Western Cape,4.03
61,D000062,Tshepo Zulu,29,33,Code 8,Permanent,Mpumalanga,3.85
62,D000063,Tshepo Modise,34,18,Code 10,Permanent,Free State,3.92
63,D000064,Kabelo Nkosi,62,28,Code 10,Permanent,Free State,3.37
64,D000065,Precious Khumalo,27,19,Code 8,Permanent,North West,3.52
65,D000066,Kagiso Zulu,40,6,Code 10,Owner Driver,Limpopo,3.95
66,D000067,Mandla Ndlovu,61,1,Code 14,Contract,Northern Cape,4.35
67,D000068,Zanele Ndlovu,50,13,Code 8,Permanent,Eastern Cape,3.52
68,D000069,Lwazi Modise,57,27,Code 8,Contract,KwaZulu-Natal,4.28
69,D000070,Dumisani Modise,50,16,Code 10,Contract,Northern Cape,4.27
70,D000071,Ayanda Adams,50,11,Code 10,Permanent,North West,4.11
71,D000072,Kabelo Adams,28,33,Code 10,Owner Driver,Mpumalanga,3.66
72,D000073,Tshepo Modise,33,3,Code 8,Owner Driver,North West,3.83
73,D000074,Lwazi Khumalo,63,16,Code 10,Permanent,Free State,4.34
74,D000075,Nomsa Jacobs,54,29,Code 14,Permanent,Gauteng,5.0
75,D000076,Lerato Dlamini,26,19,Code 8,Owner Driver,Free State,4.1
76,D000077,Nomsa Moyo,63,1,Code 8,Contract,Free State,3.81
77,D000078,Kagiso Mkhize,57,34,Code 8,Permanent,Northern Cape,4.57
78,D000079,Precious Williams,30,33,Code 10,Contract,KwaZulu-Natal,3.55
79,D000080,Tshepo Mokoena,52,6,Code 8,Permanent,Northern Cape,3.89
80,D000081,Lindelwa Williams,27,21,Code 10,Contract,Eastern Cape,3.5
81,D000082,Mpho Pillay,58,16,Code 8,Permanent,North West,3.75
82,D000083,Thabo Maseko,35,27,Code 10,Permanent,Limpopo,3.87
83,D000084,Bongani Mokoena,43,18,Code 10,Permanent,Mpumalanga,4.63
84,D000085,Nomsa Adams,45,27,Code 10,Permanent,Eastern Cape,3.64
85,D000086,Sibusiso Adams,60,14,Code 10,Owner Driver,Western Cape,3.92
86,D000087,Lindelwa Ngcobo,35,15,Code 14,Permanent,Eastern Cape,3.34
87,D000088,Mandla Van Wyk,36,3,Code 8,Owner Driver,Gauteng,3.46
88,D000089,Nomsa Zulu,37,22,Code 10,Permanent,Northern Cape,4.31
89,D000090,Kagiso Zulu,59,6,Code 10,Contract,Mpumalanga,4.93
90,D000091,Lindelwa Modise,63,27,Code 10,Owner Driver,Gauteng,3.73
91,D000092,Sibusiso Williams,23,9,Code 8,Owner Driver,Eastern Cape,3.1
92,D000093,Busisiwe Ndlovu,48,6,Code 8,Owner Driver,Northern Cape,3.4
93,D000094,Karabo Ndlovu,41,28,Code 10,Permanent,Free State,3.82
94,D000095,Mpho Mabena,61,25,Code 10,Permanent,Free State,4.2
95,D000096,Ayanda Khumalo,30,24,Code 10,Permanent,Northern Cape,4.65
96,D000097,Lwazi Jacobs,46,4,Code 14,Contract,Gauteng,3.43
97,D000098,Sibusiso Van Wyk,46,30,Code 10,Contract,Gauteng,4.53
98,D000099,Themba Mabena,38,19,Code 8,Owner Driver,North West,3.06
99,D000100,Themba Moyo,64,20,Code 8,Permanent,North West,4.49
100,D000101,Busisiwe Mthembu,27,15,Code 14,Permanent,Gauteng,4.0
101,D000102,Kagiso Dlamini,49,23,Code 14,Permanent,Eastern Cape,3.83
102,D000103,Phumzile Modise,30,2,Code 10,Owner Driver,Northern Cape,3.95
103,D000104,Kabelo Mahlangu,51,24,Code 8,Permanent,Western Cape,3.67
104,D000105,Amanda Mabena,31,19,Code 8,Contract,Eastern Cape,2.93
105,D000106,Nokuthula Moyo,36,24,Code 10,Contract,Free State,4.05
106,D000107,Thabo Khumalo,23,20,Code 14,Permanent,North West,4.64
107,D000108,Nandi Mahlangu,43,29,Code 10,Owner Driver,Western Cape,4.56
108,D000109,Karabo Khumalo,60,4,Code 10,Contract,Mpumalanga,4.05
109,D000110,Amanda Mkhize,38,16,Code 14,Permanent,Mpumalanga,3.36
110,D000111,Lwazi Nkosi,31,32,Code 10,Contract,Gauteng,4.96
111,D000112,Lindelwa Modise,60,26,Code 10,Contract,Gauteng,4.12
112,D000113,Ayanda Moyo,43,26,Code 14,Contract,KwaZulu-Natal,3.42
113,D000114,Nokuthula Mkhize,62,29,Code 8,Owner Driver,Western Cape,4.07
114,D000115,Bongani Mkhize,56,15,Code 8,Owner Driver,Western Cape,3.65
115,D000116,Lwazi Jacobs,42,1,Code 8,Owner Driver,Gauteng,2.78
116,D000117,Zanele Cele,65,30,Code 14,Permanent,Mpumalanga,3.17
117,D000118,Nomsa Maseko,33,30,Code 10,Permanent,Limpopo,4.1
118,D000119,Tshepo Dlamini,53,21,Code 8,Owner Driver,KwaZulu-Natal,5.0
119,D000120,Tshepo Nkosi,46,8,Code 10,Owner Driver,Northern Cape,4.08
120,D000121,Precious Botha,26,2,Code 8,Permanent,Mpumalanga,3.3
121,D000122,Mpho Mthembu,45,17,Code 14,Permanent,Western Cape,4.75
122,D000123,Tshepo Dlamini,49,9,Code 8,Contract,Gauteng,3.97
123,D000124,Nomsa Khumalo,23,15,Code 10,Owner Driver,KwaZulu-Natal,4.06
124,D000125,Karabo Mahlangu,25,29,Code 10,Owner Driver,KwaZulu-Natal,3.43
125,D000126,Mandla Moyo,47,9,Code 8,Permanent,Western Cape,3.19
126,D000127,Mandla Mkhize,42,6,Code 14,Contract,Mpumalanga,4.27
127,D000128,Lerato Mabena,27,33,Code 8,Permanent,Mpumalanga,4.62
128,D000129,Siyabonga Nkosi,45,21,Code 8,Contract,Northern Cape,4.34
129,D000130,Precious Mabena,56,33,Code 8,Permanent,Eastern Cape,4.28
130,D000131,Mandla Sithole,39,33,Code 8,Permanent,North West,3.75
131,D000132,Phumzile Ngcobo,62,14,Code 14,Permanent,Northern Cape,3.55
132,D000133,Karabo Naidoo,47,12,Code 10,Owner Driver,Mpumalanga,4.0
133,D000134,Themba Williams,47,26,Code 10,Owner Driver,KwaZulu-Natal,3.52
134,D000135,Sipho Mokoena,65,33,Code 10,Contract,Eastern Cape,3.96
135,D000136,Nandi Modise,55,14,Code 14,Permanent,Mpumalanga,4.55
136,D000137,Busisiwe Mahlangu,24,8,Code 8,Permanent,Free State,3.7
137,D000138,Kabelo Mthembu,57,9,Code 14,Permanent,Gauteng,4.61
138,D000139,Karabo Adams,56,26,Code 10,Owner Driver,Gauteng,4.13
139,D000140,Sipho Mabena,29,29,Code 8,Permanent,Northern Cape,4.22
140,D000141,Ayanda Williams,30,14,Code 10,Contract,Mpumalanga,4.13
141,D000142,Mandla Mahlangu,56,29,Code 8,Permanent,North West,2.89
142,D000143,Phumzile Pillay,54,25,Code 10,Contract,KwaZulu-Natal,3.97
143,D000144,Dumisani Botha,55,17,Code 14,Permanent,Free State,3.5
144,D000145,Precious Mabena,25,29,Code 8,Permanent,KwaZulu-Natal,3.62
145,D000146,Zanele Modise,45,3,Code 10,Permanent,Free State,3.74
146,D000147,Lindelwa Zulu,33,28,Code 8,Permanent,Limpopo,4.02
147,D000148,Sipho Ngcobo,33,29,Code 8,Permanent,Free State,3.78
148,D000149,Themba Naidoo,32,24,Code 8,Permanent,Western Cape,3.97
149,D000150,Amanda Maseko,44,12,Code 10,Permanent,Gauteng,4.25
150,D000151,Sipho Ngcobo,57,4,Code 14,Permanent,Limpopo,3.85
151,D000152,Themba Cele,42,17,Code 8,Contract,KwaZulu-Natal,3.95
152,D000153,Kagiso Jacobs,53,25,Code 10,Permanent,Western Cape,3.62
153,D000154,Mandla Mkhize,47,17,Code 14,Contract,KwaZulu-Natal,3.26
154,D000155,Busisiwe Mokoena,46,7,Code 10,Contract,Eastern Cape,4.57
155,D000156,Karabo Modise,32,1,Code 10,Contract,Gauteng,4.37
156,D000157,Kagiso Mabena,26,31,Code 8,Contract,Eastern Cape,4.69
157,D000158,Bongani Ngcobo,46,24,Code 10,Permanent,Gauteng,3.96
158,D000159,Sibusiso Sithole,26,17,Code 14,Permanent,KwaZulu-Natal,4.23
159,D000160,Sibusiso Ndlovu,45,19,Code 8,Contract,Gauteng,3.92
160,D000161,Siyabonga Mabena,48,27,Code 10,Permanent,Limpopo,2.85
161,D000162,Karabo Mabena,30,34,Code 14,Owner Driver,Mpumalanga,3.79
162,D000163,Amanda Dlamini,38,23,Code 14,Permanent,Gauteng,4.26
163,D000164,Ayanda Sithole,40,20,Code 8,Contract,Limpopo,4.62
164,D000165,Mandla Dlamini,53,5,Code 14,Contract,Limpopo,4.47
165,D000166,Themba Adams,31,33,Code 10,Permanent,Mpumalanga,3.98
166,D000167,Nandi Ngcobo,65,13,Code 8,Permanent,Northern Cape,4.55
167,D000168,Lindelwa Williams,34,30,Code 8,Permanent,Free State,4.08
168,D000169,Zanele Van Wyk,45,26,Code 10,Contract,Western Cape,3.33
169,D000170,Mpho Mahlangu,55,27,Code 10,Contract,North West,3.89
170,D000171,Precious Pillay,40,19,Code 8,Permanent,North West,4.16
171,D000172,Mpho Nkosi,60,24,Code 10,Permanent,North West,4.69
172,D000173,Precious Cele,29,34,Code 8,Permanent,Free State,3.35
173,D000174,Zanele Khumalo,30,23,Code 14,Owner Driver,Gauteng,4.49
174,D000175,Dumisani Adams,49,12,Code 10,Permanent,Eastern Cape,3.99
175,D000176,Lerato Naidoo,55,1,Code 8,Contract,North West,4.84
176,D000177,Ayanda Van Wyk,37,28,Code 8,Owner Driver,North West,3.57
177,D000178,Themba Mthembu,43,19,Code 8,Owner Driver,Mpumalanga,3.82
178,D000179,Themba Mokoena,52,24,Code 8,Permanent,KwaZulu-Natal,4.6
179,D000180,Nomsa Molefe,56,11,Code 10,Permanent,North West,3.56
180,D000181,Sibusiso Molefe,33,32,Code 10,Contract,North West,3.79
181,D000182,Sibusiso Moyo,52,12,Code 14,Permanent,Mpumalanga,3.77
182,D000183,Mandla Molefe,36,1,Code 14,Permanent,Free State,4.34
183,D000184,Mpho Naidoo,41,11,Code 14,Contract,North West,3.47
184,D000185,Kagiso Ngcobo,40,20,Code 10,Contract,Gauteng,5.0
185,D000186,Lindelwa Van Wyk,40,30,Code 8,Permanent,North West,3.44
186,D000187,Thabo Mabena,26,30,Code 10,Permanent,Limpopo,4.72
187,D000188,Kabelo Molefe,29,10,Code 8,Permanent,Western Cape,3.57
188,D000189,Sibusiso Moyo,63,5,Code 10,Permanent,Mpumalanga,4.56
189,D000190,Karabo Ndlovu,31,14,Code 8,Owner Driver,Northern Cape,3.91
190,D000191,Zanele Moyo,31,11,Code 10,Permanent,Eastern Cape,5.0
191,D000192,Thabo Zulu,24,31,Code 10,Permanent,Northern Cape,4.1
192,D000193,Sibusiso Williams,37,17,Code 8,Contract,Eastern Cape,5.0
193,D000194,Dumisani Mahlangu,28,31,Code 8,Owner Driver,Eastern Cape,3.61
194,D000195,Nokuthula Ngcobo,28,11,Code 8,Permanent,Eastern Cape,3.95
195,D000196,Ayanda Van Wyk,27,31,Code 8,Contract,Mpumalanga,3.16
196,D000197,Sipho Williams,28,5,Code 8,Owner Driver,Eastern Cape,3.89
197,D000198,Amanda Mahlangu,41,20,Code 8,Contract,Limpopo,3.64
198,D000199,Sipho Maseko,60,10,Code 14,Owner Driver,Western Cape,4.26
199,D000200,Siyabonga Mabena,29,27,Code 8,Permanent,Free State,3.69
200,D000201,Lindelwa Nkosi,41,3,Code 14,Permanent,North West,5.0
201,D000202,Precious Jacobs,58,8,Code 10,Owner Driver,Gauteng,3.78
202,D000203,Busisiwe Mahlangu,55,32,Code 10,Contract,Northern Cape,3.45
203,D000204,Themba Ngcobo,57,10,Code 8,Permanent,Gauteng,4.04
204,D000205,Zanele Van Wyk,48,9,Code 14,Permanent,Northern Cape,3.37
205,D000206,Zanele Sithole,48,5,Code 14,Permanent,Free State,4.62
206,D000207,Thabo Molefe,62,30,Code 10,Permanent,Mpumalanga,4.42
207,D000208,Themba Naidoo,61,9,Code 14,Permanent,Northern Cape,3.49
208,D000209,Nokuthula Botha,38,5,Code 8,Permanent,Gauteng,2.82
209,D000210,Mpho Naidoo,24,7,Code 8,Contract,Northern Cape,3.75
210,D000211,Nandi Ndlovu,44,34,Code 8,Permanent,Limpopo,4.25
211,D000212,Mpho Mkhize,38,27,Code 14,Owner Driver,Western Cape,4.09
212,D000213,Lwazi Zulu,45,27,Code 14,Permanent,North West,3.33
213,D000214,Amanda Maseko,62,21,Code 14,Owner Driver,Gauteng,4.72
214,D000215,Mandla Zulu,41,13,Code 8,Contract,Gauteng,4.06
215,D000216,Lerato Mabena,27,9,Code 10,Permanent,Free State,3.74
216,D000217,Sipho Mokoena,47,29,Code 10,Contract,Limpopo,2.77
217,D000218,Nandi Mahlangu,28,12,Code 10,Permanent,Western Cape,4.2
218,D000219,Themba Mthembu,54,5,Code 10,Permanent,Gauteng,5.0
219,D000220,Karabo Adams,24,14,Code 10,Permanent,Northern Cape,4.34
220,D000221,Mpho Ngcobo,47,15,Code 8,Permanent,Northern Cape,3.85
221,D000222,Lindelwa Mabena,47,16,Code 8,Permanent,Mpumalanga,4.84
222,D000223,Amanda Jacobs,55,2,Code 8,Owner Driver,Gauteng,3.5
223,D000224,Kagiso Williams,41,12,Code 8,Permanent,Gauteng,4.39
224,D000225,Siyabonga Adams,57,27,Code 10,Contract,Mpumalanga,4.76
225,D000226,Mpho Williams,42,20,Code 8,Permanent,KwaZulu-Natal,3.26
226,D000227,Nomsa Ndlovu,55,30,Code 8,Permanent,Gauteng,4.01
227,D000228,Lwazi Khumalo,24,5,Code 10,Contract,Gauteng,3.73
228,D000229,Themba Molefe,36,11,Code 10,Contract,Eastern Cape,4.62
229,D000230,Nokuthula Cele,26,27,Code 14,Owner Driver,Western Cape,3.22
230,D000231,Amanda Adams,62,17,Code 10,Contract,Eastern Cape,3.24
231,D000232,Dumisani Modise,62,23,Code 14,Contract,Free State,3.61
232,D000233,Mandla Molefe,49,4,Code 8,Contract,Western Cape,3.94
233,D000234,Precious Modise,61,8,Code 8,Contract,Eastern Cape,4.64
234,D000235,Sipho Mthembu,26,14,Code 10,Permanent,Northern Cape,4.75
235,D000236,Sibusiso Moyo,23,10,Code 10,Permanent,Mpumalanga,3.35
236,D000237,Ayanda Modise,48,9,Code 10,Permanent,Eastern Cape,3.47
237,D000238,Phumzile Jacobs,50,11,Code 10,Permanent,Limpopo,4.14
238,D000239,Lindelwa Pillay,28,32,Code 10,Owner Driver,Gauteng,4.31
239,D000240,Tshepo Khumalo,50,18,Code 14,Contract,KwaZulu-Natal,3.53
240,D000241,Lwazi Khumalo,57,20,Code 10,Permanent,Limpopo,3.22
241,D000242,Kabelo Mokoena,60,12,Code 8,Permanent,KwaZulu-Natal,3.46
242,D000243,Kagiso Jacobs,26,33,Code 10,Permanent,Western Cape,4.02
243,D000244,Karabo Molefe,60,23,Code 8,Permanent,Free State,5.0
244,D000245,Lindelwa Mokoena,64,32,Code 8,Permanent,Free State,3.55
245,D000246,Ayanda Pillay,33,30,Code 10,Permanent,Gauteng,3.74
246,D000247,Mpho Maseko,43,14,Code 14,Permanent,Western Cape,4.47
247,D000248,Tshepo Adams,46,29,Code 10,Contract,Northern Cape,4.7
248,D000249,Thabo Mkhize,61,3,Code 8,Owner Driver,Limpopo,4.95
249,D000250,Dumisani Mahlangu,42,33,Code 10,Contract,Mpumalanga,4.21
250,D000251,Sipho Nkosi,25,22,Code 8,Permanent,Eastern Cape,3.26
251,D000252,Sibusiso Sithole,31,21,Code 10,Permanent,Northern Cape,3.61
252,D000253,Mpho Cele,37,22,Code 10,Permanent,Mpumalanga,3.18
253,D000254,Busisiwe Mahlangu,37,30,Code 8,Permanent,Northern Cape,4.07
254,D000255,Sipho Maseko,27,34,Code 10,Permanent,Gauteng,3.69
255,D000256,Phumzile Naidoo,36,27,Code 14,Owner Driver,Free State,4.15
256,D000257,Dumisani Williams,64,29,Code 8,Contract,Limpopo,4.46
257,D000258,Nomsa Nkosi,48,29,Code 14,Contract,Limpopo,3.27
258,D000259,Lindelwa Molefe,60,6,Code 14,Contract,KwaZulu-Natal,3.89
259,D000260,Kabelo Cele,61,20,Code 8,Owner Driver,Mpumalanga,3.14
260,D000261,Themba Mokoena,57,27,Code 8,Permanent,North West,3.27
261,D000262,Tshepo Ndlovu,37,5,Code 10,Permanent,Free State,4.01
262,D000263,Amanda Molefe,52,7,Code 14,Permanent,Gauteng,3.91
263,D000264,Lerato Williams,41,25,Code 8,Permanent,Western Cape,3.38
264,D000265,Nomsa Sithole,35,12,Code 8,Permanent,KwaZulu-Natal,4.18
265,D000266,Nomsa Botha,63,31,Code 14,Owner Driver,KwaZulu-Natal,3.91
266,D000267,Dumisani Moyo,25,21,Code 10,Permanent,KwaZulu-Natal,3.66
267,D000268,Themba Ndlovu,28,30,Code 10,Permanent,Eastern Cape,3.28
268,D000269,Busisiwe Modise,37,29,Code 10,Permanent,Limpopo,4.42
269,D000270,Zanele Ngcobo,40,14,Code 10,Permanent,Gauteng,4.33
270,D000271,Nandi Mabena,53,10,Code 10,Permanent,Western Cape,4.06
271,D000272,Nandi Modise,54,10,Code 10,Owner Driver,Western Cape,3.68
272,D000273,Sibusiso Sithole,55,10,Code 10,Permanent,Mpumalanga,4.03
273,D000274,Nomsa Botha,53,33,Code 8,Contract,KwaZulu-Natal,3.84
274,D000275,Amanda Nkosi,52,11,Code 14,Permanent,Eastern Cape,3.51
275,D000276,Karabo Mabena,39,9,Code 10,Permanent,Eastern Cape,3.11
276,D000277,Mpho Cele,38,30,Code 10,Permanent,KwaZulu-Natal,3.95
277,D000278,Siyabonga Mabena,56,15,Code 8,Contract,North West,3.63
278,D000279,Sibusiso Botha,51,23,Code 8,Permanent,KwaZulu-Natal,4.01
279,D000280,Phumzile Khumalo,28,32,Code 8,Owner Driver,Gauteng,3.73
280,D000281,Tshepo Van Wyk,26,4,Code 8,Owner Driver,Mpumalanga,5.0
281,D000282,Lwazi Botha,25,1,Code 8,Permanent,Gauteng,3.84
282,D000283,Mpho Mokoena,58,14,Code 10,Permanent,Gauteng,5.0
283,D000284,Kabelo Van Wyk,59,30,Code 10,Owner Driver,Limpopo,2.92
284,D000285,Mandla Sithole,47,4,Code 8,Contract,Limpopo,3.71
285,D000286,Precious Jacobs,46,32,Code 10,Permanent,North West,4.36
286,D000287,Themba Pillay,56,24,Code 10,Permanent,Free State,3.84
287,D000288,Tshepo Naidoo,35,5,Code 8,Permanent,North West,4.32
288,D000289,Nokuthula Nkosi,35,28,Code 10,Permanent,Mpumalanga,4.34
289,D000290,Mpho Jacobs,56,25,Code 10,Permanent,Free State,3.39
290,D000291,Precious Maseko,35,28,Code 10,Permanent,Free State,3.84
291,D000292,Kagiso Mahlangu,58,34,Code 8,Permanent,Western Cape,5.0
292,D000293,Amanda Mabena,30,11,Code 14,Contract,Northern Cape,3.75
293,D000294,Sibusiso Nkosi,64,16,Code 8,Contract,North West,4.13
294,D000295,Ayanda Moyo,27,32,Code 14,Permanent,North West,4.36
295,D000296,Themba Cele,26,33,Code 14,Contract,Mpumalanga,4.16
296,D000297,Ayanda Botha,62,7,Code 14,Owner Driver,Mpumalanga,3.64
297,D000298,Kagiso Mabena,44,3,Code 8,Permanent,Free State,4.37
298,D000299,Zanele Cele,41,14,Code 8,Contract,Limpopo,3.43
299,D000300,Mandla Sithole,40,19,Code 10,Permanent,Northern Cape,3.66
300,D000301,Lindelwa Jacobs,30,25,Code 8,Owner Driver,Gauteng,3.56
301,D000302,Thabo Naidoo,32,4,Code 8,Contract,North West,3.88
302,D000303,Sipho Maseko,27,14,Code 10,Owner Driver,Eastern Cape,3.98
303,D000304,Nokuthula Maseko,57,33,Code 14,Owner Driver,Limpopo,3.93
304,D000305,Themba Jacobs,43,1,Code 14,Owner Driver,Northern Cape,3.84
305,D000306,Mandla Maseko,33,20,Code 14,Permanent,Eastern Cape,3.62
306,D000307,Kagiso Mabena,47,8,Code 14,Permanent,Western Cape,3.2
307,D000308,Busisiwe Maseko,50,34,Code 10,Permanent,Gauteng,4.39
308,D000309,Sipho Mokoena,62,14,Code 8,Permanent,Mpumalanga,4.08
309,D000310,Themba Mthembu,62,15,Code 10,Contract,Western Cape,3.27
310,D000311,Karabo Molefe,56,12,Code 10,Contract,Gauteng,4.17
311,D000312,Themba Ndlovu,48,32,Code 14,Permanent,Free State,4.06
312,D000313,Kabelo Jacobs,50,7,Code 8,Contract,North West,2.95
313,D000314,Lwazi Ndlovu,45,14,Code 10,Permanent,Mpumalanga,3.74
314,D000315,Themba Pillay,57,4,Code 8,Permanent,KwaZulu-Natal,3.43
315,D000316,Bongani Van Wyk,23,20,Code 10,Permanent,Free State,3.17
316,D000317,Kabelo Molefe,26,5,Code 10,Permanent,Gauteng,3.68
317,D000318,Mpho Modise,27,24,Code 14,Permanent,Eastern Cape,3.97
318,D000319,Phumzile Williams,25,18,Code 8,Permanent,North West,3.78
319,D000320,Nomsa Sithole,61,9,Code 14,Permanent,North West,4.48
320,D000321,Kabelo Nkosi,54,18,Code 14,Permanent,Western Cape,4.03
321,D000322,Themba Jacobs,51,14,Code 10,Permanent,Limpopo,4.21
322,D000323,Lerato Sithole,44,22,Code 8,Owner Driver,Mpumalanga,4.61
323,D000324,Kagiso Mthembu,42,22,Code 10,Permanent,Free State,3.15
324,D000325,Tshepo Ndlovu,42,25,Code 8,Permanent,Limpopo,4.48
325,D000326,Busisiwe Mkhize,32,5,Code 10,Owner Driver,Mpumalanga,4.61
326,D000327,Busisiwe Modise,56,13,Code 10,Contract,Mpumalanga,4.11
327,D000328,Lwazi Maseko,64,14,Code 10,Permanent,Western Cape,3.74
328,D000329,Karabo Dlamini,60,2,Code 8,Contract,North West,4.84
329,D000330,Siyabonga Dlamini,54,7,Code 14,Permanent,Gauteng,4.22
330,D000331,Lwazi Moyo,53,11,Code 10,Permanent,North West,4.49
331,D000332,Nomsa Khumalo,45,24,Code 8,Owner Driver,Limpopo,3.87
332,D000333,Mpho Ndlovu,62,24,Code 10,Contract,Limpopo,3.6
333,D000334,Karabo Mthembu,57,1,Code 10,Permanent,Free State,4.71
334,D000335,Phumzile Mokoena,53,3,Code 14,Contract,Mpumalanga,3.93
335,D000336,Lwazi Jacobs,28,4,Code 10,Permanent,Eastern Cape,4.01
336,D000337,Tshepo Mokoena,36,18,Code 10,Permanent,Mpumalanga,4.19
337,D000338,Mpho Molefe,29,32,Code 8,Permanent,North West,3.63
338,D000339,Sibusiso Naidoo,62,24,Code 8,Contract,Free State,3.56
339,D000340,Kagiso Mahlangu,61,27,Code 8,Permanent,North West,3.97
340,D000341,Tshepo Khumalo,33,5,Code 10,Contract,KwaZulu-Natal,3.5
341,D000342,Zanele Zulu,38,8,Code 10,Contract,Gauteng,3.93
342,D000343,Mandla Ngcobo,52,27,Code 10,Permanent,KwaZulu-Natal,3.94
